X Gaze Data, Y Gaze Data, Time 
407,565,864022
409,565,864037
417,559,864053
418,557,864069
423,557,864084
422,558,864100
423,558,864116
429,562,864131
431,563,864147
433,564,864162
433,563,864178
433,563,864194
441,559,864209
443,558,864225
444,557,864240
445,556,864256
448,554,864272
455,548,864287
457,548,864303
458,548,864319
459,548,864334
461,547,864350
462,547,864365
464,548,864381
466,549,864397
469,547,864412
474,543,864428
477,542,864444
478,542,864459
488,538,864475
489,538,864490
492,537,864491
494,537,864506
496,537,864522
498,538,864537
501,540,864553
502,539,864569
504,539,864584
504,537,864600
508,532,864615
510,531,864631
514,529,864647
515,527,864662
518,527,864678
521,526,864694
523,525,864709
527,525,864725
528,524,864740
530,524,864756
531,521,864772
537,519,864787
538,518,864803
540,518,864819
544,516,864834
546,512,864850
548,512,864867
548,513,864881
550,516,864897
551,518,864912
552,519,864928
552,519,864944
554,517,864959
556,515,864975
557,514,864990
561,508,865006
564,507,865022
564,507,865037
563,507,865053
559,502,865069
556,494,865078
555,490,865101
565,490,865117
564,485,865132
564,479,865148
569,478,865164
576,479,865179
581,480,865195
586,484,865210
588,485,865226
594,486,865242
596,486,865257
603,485,865273
607,484,865289
605,484,865304
605,484,865320
609,482,865335
615,484,865351
618,485,865367
619,483,865382
622,482,865398
623,477,865414
623,479,865429
624,479,865445
630,472,865460
633,471,865476
636,470,865492
642,475,865507
643,474,865523
647,474,865539
649,476,865554
651,475,865570
654,469,865585
656,466,865601
658,466,865617
658,465,865632
663,464,865648
667,463,865664
667,463,865679
668,463,865695
669,464,865710
677,470,865726
678,470,865742
683,469,865757
686,471,865758
686,471,865773
685,471,865789
709,462,865804
714,459,865820
719,456,865835
721,454,865851
724,450,865867
726,444,865882
728,442,865898
729,436,865914
730,433,865929
733,431,865945
739,427,865960
740,426,865976
748,417,865992
752,419,866007
755,418,866023
756,415,866039
758,414,866054
761,414,866070
762,412,866085
763,410,866101
767,407,866117
769,405,866132
774,401,866148
775,401,866164
776,401,866179
779,400,866195
778,400,866210
779,399,866211
780,399,866226
783,392,866242
785,391,866257
787,392,866273
788,391,866289
789,390,866304
792,389,866320
795,390,866335
797,389,866351
797,389,866367
800,389,866382
802,390,866398
803,391,866414
809,396,866429
810,399,866445
810,397,866460
811,396,866476
813,393,866492
813,393,866507
815,393,866523
818,395,866539
819,394,866554
819,393,866570
824,393,866586
825,394,866601
